date,day_of_week,hour,base_price_prob,price_volatility,price_elasticity,base_load_demand,load_volatility,temperature,humidity,weather,weather_code,wind_speed,solar_potential,wind_power_potential,industrial_activity,commercial_activity,residential_activity,total_activity_factor,temperature_effect,is_weekend,is_holiday,season_factor
2023-10-01,Sunday,0,0.0316,0.0136,0.48,8.32,0.099,17.9,88.3,Stormy,3,6.4,0.0,0.285,0.1,0.36,0.33,0.25,0.57,1,1,1.05
2023-10-01,Sunday,1,0.0255,0.0151,0.48,6.43,0.107,23.5,88.5,Foggy,4,4.2,0.0,0.1,0.1,0.36,0.33,0.25,0.31,1,1,1.05
2023-10-01,Sunday,2,0.0304,0.0168,0.48,7.07,0.12,25.9,66.5,Sunny,0,5.2,0.0,0.186,0.1,0.36,0.33,0.25,0.0,1,1,1.05
2023-10-01,Sunday,3,0.0321,0.0168,0.48,7.95,0.121,25.5,63.8,Rainy,2,5.6,0.0,0.213,0.1,0.36,0.33,0.25,0.0,1,1,1.05
2023-10-01,Sunday,4,0.0281,0.0168,0.48,6.64,0.12,27.2,59.1,Cloudy,1,4.6,0.0,0.134,0.1,0.36,0.33,0.25,0.0,1,1,1.05
2023-10-01,Sunday,5,0.031,0.0168,0.48,6.89,0.12,27.1,76.0,Cloudy,1,4.5,0.0,0.122,0.1,0.36,0.33,0.25,0.0,1,1,1.05
2023-10-01,Sunday,6,0.0821,0.0252,0.48,12.81,0.12,25.3,50.7,Cloudy,1,4.0,0.12,0.083,0.1,0.36,0.33,0.25,0.0,1,1,1.05
2023-10-01,Sunday,7,0.0805,0.0248,0.48,16.65,0.118,24.8,54.4,Sunny,0,3.3,0.455,0.024,0.1,1.08,0.99,0.66,0.05,1,1,1.05
2023-10-01,Sunday,8,0.0935,0.0207,0.48,16.78,0.099,22.3,37.2,Sunny,0,3.5,0.6,0.039,0.1,1.08,0.99,0.66,0.54,1,1,1.05
2023-10-01,Sunday,9,0.3872,0.0265,0.48,26.01,0.095,21.8,37.3,Cloudy,1,4.5,0.29,0.129,0.1,1.62,0.99,0.82,0.64,1,1,1.05
2023-10-01,Sunday,10,0.5018,0.0259,0.48,29.05,0.093,21.6,49.8,Sunny,0,3.8,0.82,0.07,0.1,1.62,0.66,0.72,0.68,1,1,1.05
2023-10-01,Sunday,11,0.4002,0.0253,0.48,27.98,0.093,21.3,25.9,Stormy,3,2.4,0.088,0.0,0.1,1.62,0.66,0.72,0.74,1,1,1.05
2023-10-01,Sunday,12,0.2483,0.0178,0.48,24.22,0.085,19.4,46.7,Sunny,0,1.7,0.9,0.0,0.1,1.62,0.66,0.72,0.88,1,1,1.05
2023-10-01,Sunday,13,0.2316,0.0183,0.48,22.73,0.087,19.1,49.5,Sunny,0,0.5,0.88,0.0,0.1,1.62,0.66,0.72,0.82,1,1,1.05
2023-10-01,Sunday,14,0.2281,0.0172,0.48,23.14,0.082,19.8,29.7,Cloudy,1,2.0,0.328,0.0,0.1,1.62,0.66,0.72,0.95,1,1,1.05
2023-10-01,Sunday,15,0.22,0.0216,0.48,26.41,0.104,17.2,49.7,Rainy,2,0.5,0.072,0.0,0.1,1.62,0.66,0.72,0.43,1,1,1.05
2023-10-01,Sunday,16,0.2017,0.0246,0.48,26.65,0.117,15.4,61.0,Sunny,0,2.0,0.6,0.0,0.1,1.62,0.66,0.72,0.07,1,1,1.05
2023-10-01,Sunday,17,0.21,0.0252,0.48,23.98,0.12,14.5,50.2,Sunny,0,2.3,0.455,0.0,0.1,1.62,0.66,0.72,0.0,1,1,1.05
2023-10-01,Sunday,18,0.3605,0.0336,0.48,30.07,0.12,14.6,56.1,Sunny,0,2.8,0.3,0.0,0.1,1.62,0.99,0.82,0.0,1,1,1.05
2023-10-01,Sunday,19,0.4748,0.0336,0.48,36.11,0.121,13.8,70.6,Rainy,2,3.3,0.0,0.029,0.1,1.62,0.99,0.82,0.0,1,1,1.05
2023-10-01,Sunday,20,0.3591,0.0336,0.48,27.36,0.12,14.8,78.3,Cloudy,1,3.3,0.0,0.028,0.1,1.62,0.99,0.82,0.0,1,1,1.05
2023-10-01,Sunday,21,0.154,0.0252,0.48,16.4,0.121,12.8,64.9,Rainy,2,4.0,0.0,0.082,0.1,1.62,0.99,0.82,0.0,1,1,1.05
2023-10-01,Sunday,22,0.1531,0.0177,0.48,14.25,0.084,19.5,65.2,Cloudy,1,5.0,0.0,0.168,0.1,1.08,0.99,0.66,0.89,1,1,1.05
2023-10-01,Sunday,23,0.1614,0.0187,0.48,13.33,0.089,18.8,82.7,Cloudy,1,5.0,0.0,0.165,0.1,1.08,0.33,0.46,0.77,1,1,1.05
2023-10-02,Monday,0,0.0393,0.0147,0.48,9.6,0.086,19.5,71.1,Stormy,3,6.3,0.0,0.272,0.1,0.3,0.33,0.23,0.9,0,1,1.05
2023-10-02,Monday,1,0.0448,0.0167,0.48,8.86,0.096,22.0,84.7,Sunny,0,4.9,0.0,0.155,0.1,0.3,0.33,0.23,0.61,0,1,1.05
