date,day_of_week,hour,base_price_prob,price_volatility,price_elasticity,base_load_demand,load_volatility,temperature,humidity,weather,weather_code,wind_speed,solar_potential,wind_power_potential,industrial_activity,commercial_activity,residential_activity,total_activity_factor,temperature_effect,is_weekend,is_holiday,season_factor
2023-10-01,Sunday,0,0.021,0.0225,0.525,7.16,0.114,23.4,85.3,Cloudy,1,4.1,0.0,0.092,0.1,0.36,0.33,0.25,0.32,1,1,1.05
2023-10-01,Sunday,1,0.0211,0.0174,0.525,6.01,0.084,19.6,71.7,Sunny,0,6.1,0.0,0.256,0.1,0.36,0.33,0.25,0.92,1,1,1.05
2023-10-01,Sunday,2,0.0267,0.0252,0.525,7.86,0.13,25.1,83.7,Sunny,0,5.2,0.0,0.185,0.1,0.36,0.33,0.25,0.0,1,1,1.05
2023-10-01,Sunday,3,0.0265,0.0206,0.525,6.89,0.103,22.3,82.6,Sunny,0,5.2,0.0,0.184,0.1,0.36,0.33,0.25,0.54,1,1,1.05
2023-10-01,Sunday,4,0.0414,0.0204,0.525,6.18,0.101,22.1,62.2,Sunny,0,4.5,0.0,0.127,0.1,0.36,0.33,0.25,0.58,1,1,1.05
2023-10-01,Sunday,5,0.029,0.0252,0.525,5.82,0.13,28.8,66.8,Cloudy,1,6.2,0.0,0.27,0.1,0.36,0.33,0.25,0.0,1,1,1.05
2023-10-01,Sunday,6,0.0781,0.0336,0.525,14.0,0.129,27.1,49.5,Foggy,4,6.1,0.06,0.256,0.1,0.36,0.33,0.25,0.0,1,1,1.05
2023-10-01,Sunday,7,0.0964,0.0305,0.525,17.36,0.116,23.6,65.3,Cloudy,1,6.3,0.182,0.275,0.1,1.08,0.99,0.66,0.28,1,1,1.05
2023-10-01,Sunday,8,0.0774,0.0262,0.525,16.8,0.099,21.7,40.8,Rainy,2,6.1,0.06,0.26,0.1,1.08,0.99,0.66,0.66,1,1,1.05
2023-10-01,Sunday,9,0.398,0.0382,0.525,26.2,0.119,23.6,64.8,Rainy,2,1.8,0.072,0.0,0.1,1.62,0.99,0.82,0.27,1,1,1.05
2023-10-01,Sunday,10,0.5048,0.0305,0.525,31.95,0.089,19.1,45.3,Sunny,0,2.3,0.82,0.0,0.1,1.62,0.66,0.72,0.82,1,1,1.05
2023-10-01,Sunday,11,0.3824,0.0333,0.525,25.51,0.099,21.9,29.2,Sunny,0,1.2,0.88,0.0,0.1,1.62,0.66,0.72,0.62,1,1,1.05
2023-10-01,Sunday,12,0.2482,0.0262,0.525,23.85,0.099,18.3,35.9,Rainy,2,0.5,0.09,0.0,0.1,1.62,0.66,0.72,0.66,1,1,1.05
2023-10-01,Sunday,13,0.223,0.0259,0.525,24.01,0.095,18.5,48.0,Cloudy,1,1.2,0.352,0.0,0.1,1.62,0.66,0.72,0.69,1,1,1.05
2023-10-01,Sunday,14,0.2456,0.0243,0.525,23.43,0.091,20.8,44.9,Rainy,2,2.8,0.082,0.0,0.1,1.62,0.66,0.72,0.83,1,1,1.05
2023-10-01,Sunday,15,0.2117,0.0261,0.525,26.32,0.099,18.4,43.3,Rainy,2,1.1,0.072,0.0,0.1,1.62,0.66,0.72,0.67,1,1,1.05
2023-10-01,Sunday,16,0.2103,0.0336,0.525,26.61,0.13,14.5,66.7,Sunny,0,2.5,0.6,0.0,0.1,1.62,0.66,0.72,0.0,1,1,1.05
2023-10-01,Sunday,17,0.2096,0.0336,0.525,24.4,0.13,11.9,53.8,Sunny,0,3.2,0.455,0.018,0.1,1.62,0.66,0.72,0.0,1,1,1.05
2023-10-01,Sunday,18,0.3713,0.042,0.525,29.81,0.13,10.1,79.5,Cloudy,1,3.3,0.12,0.022,0.1,1.62,0.99,0.82,0.0,1,1,1.05
2023-10-01,Sunday,19,0.4695,0.042,0.525,29.79,0.13,14.0,76.3,Sunny,0,1.8,0.0,0.0,0.1,1.62,0.99,0.82,0.0,1,1,1.05
2023-10-01,Sunday,20,0.3692,0.042,0.525,28.58,0.13,12.9,80.5,Sunny,0,4.8,0.0,0.154,0.1,1.62,0.99,0.82,0.0,1,1,1.05
2023-10-01,Sunday,21,0.1414,0.0295,0.525,14.06,0.111,16.8,79.2,Foggy,4,2.2,0.0,0.0,0.1,1.62,0.99,0.82,0.36,1,1,1.05
2023-10-01,Sunday,22,0.1603,0.0256,0.525,15.34,0.098,18.6,64.4,Stormy,3,5.5,0.0,0.21,0.1,1.08,0.99,0.66,0.72,1,1,1.05
2023-10-01,Sunday,23,0.1576,0.0258,0.525,14.36,0.098,21.5,84.5,Rainy,2,6.0,0.0,0.252,0.1,1.08,0.33,0.46,0.69,1,1,1.05
2023-10-02,Monday,0,0.0329,0.0233,0.525,7.64,0.091,18.9,95.0,Cloudy,1,7.0,0.0,0.331,0.1,0.3,0.33,0.23,0.79,0,1,1.05
2023-10-02,Monday,1,0.0265,0.0241,0.525,8.75,0.095,21.5,95.0,Sunny,0,4.8,0.0,0.152,0.1,0.3,0.33,0.23,0.7,0,1,1.05
2023-10-02,Monday,2,0.0426,0.0219,0.525,6.95,0.084,20.4,65.7,Cloudy,1,6.1,0.0,0.261,0.1,0.3,0.33,0.23,0.92,0,1,1.05
2023-10-02,Monday,3,0.0288,0.0315,0.525,8.7,0.13,27.2,60.6,Sunny,0,4.7,0.0,0.143,0.1,0.3,0.33,0.23,0.0,0,1,1.05
2023-10-02,Monday,4,0.0239,0.0315,0.525,7.83,0.129,28.6,57.6,Foggy,4,4.1,0.0,0.093,0.1,0.3,0.33,0.23,0.0,0,1,1.05
2023-10-02,Monday,5,0.0479,0.0315,0.525,7.56,0.13,28.9,71.5,Cloudy,1,6.9,0.0,0.328,0.1,0.3,0.33,0.23,0.0,0,1,1.05
2023-10-02,Monday,6,0.1227,0.042,0.525,15.44,0.132,27.7,56.8,Rainy,2,6.2,0.03,0.267,0.1,0.3,0.33,0.23,0.0,0,1,1.05
2023-10-02,Monday,7,0.1028,0.042,0.525,19.49,0.13,25.7,60.7,Cloudy,1,5.8,0.182,0.235,0.1,0.9,0.99,0.61,0.0,0,1,1.05
2023-10-02,Monday,8,0.1274,0.042,0.525,17.24,0.129,27.4,39.8,Foggy,4,2.5,0.12,0.0,0.1,0.9,0.99,0.61,0.0,0,1,1.05
2023-10-02,Monday,9,0.4681,0.0439,0.525,27.66,0.105,22.5,45.3,Sunny,0,3.0,0.724,0.002,0.1,1.35,0.99,0.74,0.49,0,1,1.05
2023-10-02,Monday,10,0.6502,0.0371,0.525,34.24,0.085,20.6,36.6,Foggy,4,3.4,0.164,0.03,0.1,1.35,0.66,0.64,0.88,0,1,1.05
2023-10-02,Monday,11,0.4784,0.0415,0.525,26.42,0.097,21.9,46.6,Foggy,4,4.0,0.176,0.085,0.1,1.35,0.66,0.64,0.63,0,1,1.05
2023-10-02,Monday,12,0.3012,0.0383,0.525,24.64,0.117,16.3,38.9,Cloudy,1,0.5,0.36,0.0,0.1,1.35,0.66,0.64,0.27,0,1,1.05
2023-10-02,Monday,13,0.3082,0.0403,0.525,27.86,0.124,15.6,57.9,Sunny,0,0.5,0.88,0.0,0.1,1.35,0.66,0.64,0.12,0,1,1.05
2023-10-02,Monday,14,0.287,0.0335,0.525,27.0,0.102,18.0,60.9,Rainy,2,0.5,0.082,0.0,0.1,1.35,0.66,0.64,0.61,0,1,1.05
2023-10-02,Monday,15,0.2515,0.04,0.525,24.92,0.122,15.7,39.7,Foggy,4,0.5,0.145,0.0,0.1,1.35,0.66,0.64,0.15,0,1,1.05
2023-10-02,Monday,16,0.2506,0.0397,0.525,30.2,0.122,15.8,39.0,Cloudy,1,2.0,0.24,0.0,0.1,1.35,0.66,0.64,0.17,0,1,1.05
2023-10-02,Monday,17,0.2825,0.042,0.525,27.03,0.129,13.0,56.0,Foggy,4,1.9,0.091,0.0,0.1,1.35,0.66,0.64,0.0,0,1,1.05
2023-10-02,Monday,18,0.4722,0.0525,0.525,33.12,0.13,12.8,40.6,Cloudy,1,1.9,0.12,0.0,0.1,1.35,0.99,0.74,0.0,0,1,1.05
2023-10-02,Monday,19,0.6072,0.0434,0.525,38.74,0.104,17.6,82.4,Sunny,0,4.2,0.0,0.101,0.1,1.35,0.99,0.74,0.52,0,1,1.05
2023-10-02,Monday,20,0.4346,0.0429,0.525,33.15,0.103,17.7,60.0,Sunny,0,1.9,0.0,0.0,0.1,1.35,0.99,0.74,0.55,0,1,1.05
2023-10-02,Monday,21,0.1918,0.042,0.525,15.4,0.13,13.0,75.1,Sunny,0,2.7,0.0,0.0,0.1,1.35,0.99,0.74,0.0,0,1,1.05
2023-10-02,Monday,22,0.2018,0.04,0.525,18.17,0.123,15.7,71.4,Cloudy,1,2.3,0.0,0.0,0.1,0.9,0.99,0.61,0.14,0,1,1.05
2023-10-02,Monday,23,0.1998,0.0285,0.525,17.85,0.084,20.2,93.2,Rainy,2,5.8,0.0,0.229,0.1,0.9,0.33,0.41,0.97,0,1,1.05
2023-10-03,Tuesday,0,0.0286,0.0287,0.525,9.21,0.119,16.4,92.1,Rainy,2,4.5,0.0,0.123,0.1,0.3,0.33,0.23,0.27,0,1,1.05
2023-10-03,Tuesday,1,0.0235,0.0222,0.525,7.04,0.086,19.4,95.0,Sunny,0,4.8,0.0,0.149,0.1,0.3,0.33,0.23,0.89,0,1,1.05
2023-10-03,Tuesday,2,0.0244,0.0211,0.525,9.03,0.083,20.0,83.7,Rainy,2,4.5,0.0,0.129,0.1,0.3,0.33,0.23,0.99,0,1,1.05
2023-10-03,Tuesday,3,0.024,0.0315,0.525,6.92,0.129,26.4,76.1,Foggy,4,8.0,0.0,0.415,0.1,0.3,0.33,0.23,0.0,0,1,1.05
2023-10-03,Tuesday,4,0.0313,0.0315,0.525,8.39,0.13,26.1,76.6,Sunny,0,5.7,0.0,0.228,0.1,0.3,0.33,0.23,0.0,0,1,1.05
